,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
807,female,group E,high school,free/reduced,none,41,45,40
232,female,group B,bachelor's degree,standard,none,67,86,83
790,female,group B,high school,standard,none,48,62,60
249,male,group C,high school,standard,none,68,60,53
855,female,group B,bachelor's degree,standard,none,97,97,96
942,male,group C,high school,standard,none,81,66,64
175,female,group C,master's degree,standard,completed,81,91,87
707,male,group C,some college,standard,none,66,59,52
9,female,group B,high school,free/reduced,none,38,60,50
19,female,group C,associate's degree,free/reduced,none,54,58,61
576,male,group A,some college,standard,completed,61,51,52
422,female,group D,master's degree,free/reduced,completed,47,58,67
291,male,group D,some high school,standard,none,86,73,70
654,female,group B,some high school,standard,none,73,79,79
226,female,group C,some college,standard,none,72,72,71
616,female,group E,bachelor's degree,standard,none,37,45,38
523,male,group C,master's degree,free/reduced,none,54,59,50
382,male,group C,master's degree,free/reduced,none,79,81,71
703,female,group D,some college,standard,none,63,64,67
879,female,group D,associate's degree,standard,none,64,76,74
982,male,group B,some high school,standard,completed,79,85,86
925,male,group E,some high school,standard,completed,74,64,60
881,female,group E,bachelor's degree,standard,completed,71,70,70
695,female,group D,some college,free/reduced,none,79,89,86
247,female,group B,high school,standard,completed,58,70,68
70,female,group D,some college,free/reduced,completed,58,63,73
298,male,group C,high school,free/reduced,completed,40,46,50
742,female,group C,high school,standard,none,81,84,82
677,female,group C,some high school,standard,completed,70,82,76
806,female,group D,some college,free/reduced,none,64,74,75
546,female,group A,some high school,standard,completed,92,100,97
376,female,group D,some high school,standard,none,80,90,82
710,male,group C,some college,standard,completed,93,84,90
277,female,group E,high school,standard,completed,59,63,75
882,female,group B,high school,free/reduced,none,64,73,71
528,female,group D,bachelor's degree,free/reduced,none,29,41,47
490,female,group A,associate's degree,free/reduced,none,65,85,76
392,male,group E,some college,standard,none,76,67,67
704,female,group B,some high school,free/reduced,completed,59,63,64
943,male,group A,some high school,free/reduced,completed,61,62,61
580,female,group D,some high school,standard,none,81,97,96
772,female,group B,some high school,free/reduced,completed,52,67,72
453,male,group C,some college,free/reduced,none,65,58,49
912,female,group C,bachelor's degree,standard,completed,52,61,66
533,female,group E,associate's degree,standard,completed,79,88,94
655,female,group B,some college,standard,none,62,67,67
184,male,group C,some high school,free/reduced,completed,45,52,49
931,male,group D,some college,free/reduced,none,62,57,62
760,female,group C,high school,free/reduced,none,53,72,64
724,male,group B,some college,standard,none,47,43,41
976,male,group B,some college,free/reduced,completed,60,62,60
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
289,male,group E,some high school,standard,completed,77,76,77
893,male,group D,some high school,standard,completed,88,74,75
711,female,group E,some high school,standard,completed,80,85,85
179,female,group D,some high school,standard,completed,97,100,100
63,female,group C,associate's degree,standard,none,69,80,71
921,female,group C,high school,free/reduced,none,35,53,46
105,female,group C,some college,standard,none,58,67,72
729,male,group C,some college,standard,none,53,39,37
433,female,group A,some high school,free/reduced,none,47,59,50
574,female,group E,high school,standard,none,74,81,71
256,female,group C,associate's degree,free/reduced,none,64,73,68
214,male,group E,high school,standard,completed,87,91,81
69,female,group C,associate's degree,standard,none,39,64,57
190,female,group E,associate's degree,standard,none,66,65,69
313,female,group C,associate's degree,free/reduced,completed,68,67,69
838,male,group B,associate's degree,free/reduced,completed,58,57,53
900,male,group D,master's degree,standard,none,85,84,89
877,male,group C,some high school,standard,none,57,61,54
517,female,group E,some college,standard,completed,66,74,73
225,female,group E,master's degree,free/reduced,none,45,56,54
618,male,group D,master's degree,standard,none,95,81,84
318,male,group B,bachelor's degree,standard,none,63,71,69
234,male,group C,bachelor's degree,standard,completed,83,82,84
403,female,group D,high school,standard,completed,88,99,100
408,female,group D,high school,free/reduced,completed,52,57,56
990,male,group E,high school,free/reduced,completed,86,81,75
445,female,group C,some high school,standard,completed,67,74,77
529,female,group C,associate's degree,standard,none,62,74,70
462,female,group E,some college,standard,none,71,70,76
600,female,group D,master's degree,standard,none,54,60,63
469,male,group C,some college,standard,none,91,74,76
80,female,group B,associate's degree,standard,none,47,49,50
693,female,group D,associate's degree,standard,none,77,77,73
857,female,group C,bachelor's degree,standard,none,65,79,81
156,female,group E,high school,free/reduced,completed,66,74,78
444,male,group A,some high school,free/reduced,none,79,82,73
847,male,group D,high school,standard,none,64,54,50
390,male,group E,some high school,free/reduced,completed,73,67,59
210,male,group D,some high school,free/reduced,completed,80,79,79
96,male,group B,some high school,standard,completed,65,66,62
985,male,group A,high school,standard,none,57,51,54
413,male,group B,some high school,standard,completed,63,67,67
395,male,group A,high school,free/reduced,none,48,45,41
612,male,group C,bachelor's degree,standard,completed,94,90,91
627,male,group D,associate's degree,standard,none,61,48,46
387,female,group C,associate's degree,free/reduced,none,57,78,67
820,female,group A,some high school,standard,completed,85,90,92
145,female,group C,some college,free/reduced,none,22,39,33
340,male,group C,high school,free/reduced,none,58,61,52
505,female,group B,some high school,standard,none,82,82,80
393,male,group C,associate's degree,standard,completed,57,54,56
53,male,group D,high school,standard,none,88,78,75
620,female,group C,high school,free/reduced,none,35,61,54
661,male,group C,some high school,standard,none,73,66,63
938,male,group D,some college,standard,completed,85,81,85
321,female,group E,high school,standard,none,75,86,79
605,male,group C,some high school,standard,none,75,72,62
560,female,group D,some college,standard,completed,74,75,79
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
761,female,group D,some high school,standard,none,48,58,54
826,female,group C,associate's degree,free/reduced,completed,56,68,70
83,male,group E,associate's degree,standard,none,72,64,63
727,male,group E,some high school,standard,completed,68,51,57
431,female,group C,high school,standard,none,61,72,70
641,female,group D,associate's degree,free/reduced,completed,74,88,90
625,male,group D,some college,standard,completed,100,97,99
765,female,group B,high school,standard,none,74,72,72
559,male,group D,some high school,standard,none,73,66,62
359,female,group D,some college,standard,none,80,90,89
628,male,group D,some college,free/reduced,none,49,57,46
52,male,group C,some college,standard,none,53,44,42
397,female,group C,associate's degree,standard,none,85,89,95
478,female,group D,master's degree,standard,none,55,64,70
651,female,group A,high school,standard,completed,68,80,76
873,male,group E,associate's degree,free/reduced,none,90,90,82
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
238,male,group B,some college,standard,none,54,52,51
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
871,female,group C,some college,standard,completed,70,72,76
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
7,male,group B,some college,free/reduced,none,40,43,39
706,male,group D,high school,standard,none,46,34,36
787,female,group B,some college,standard,none,19,38,32
915,female,group E,some college,standard,none,68,70,66
633,female,group C,high school,standard,none,75,88,85
294,male,group D,high school,free/reduced,completed,78,77,80
81,male,group B,high school,free/reduced,none,49,45,45
722,female,group B,some high school,free/reduced,completed,74,90,88
541,male,group D,associate's degree,free/reduced,completed,79,82,80
674,female,group D,high school,standard,completed,69,77,78
991,female,group B,some high school,standard,completed,65,82,78
539,male,group A,associate's degree,standard,completed,97,92,86
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
133,female,group C,some college,standard,completed,75,81,84
680,female,group D,high school,standard,none,67,72,74
8,male,group D,high school,free/reduced,completed,64,64,67
895,female,group E,some high school,free/reduced,none,32,34,38
937,female,group E,high school,free/reduced,none,57,58,57
290,male,group C,associate's degree,standard,none,76,70,68
935,male,group D,some college,free/reduced,none,70,63,58
93,male,group C,associate's degree,free/reduced,completed,43,45,50
472,female,group C,associate's degree,standard,completed,68,86,84
557,male,group C,master's degree,free/reduced,none,61,67,66
764,male,group D,some college,standard,none,60,63,59
526,male,group C,some high school,free/reduced,completed,56,61,60
658,female,group D,associate's degree,free/reduced,none,43,60,58
484,female,group B,associate's degree,standard,none,49,52,54
479,male,group E,associate's degree,standard,none,76,71,67
904,female,group D,some high school,free/reduced,none,67,84,84
596,male,group B,high school,free/reduced,none,30,24,15
491,female,group C,associate's degree,standard,none,64,64,70
502,male,group C,some college,free/reduced,none,63,61,54
358,male,group D,some college,free/reduced,none,59,62,61
356,male,group A,associate's degree,standard,none,63,61,61
960,female,group A,some college,standard,none,56,58,64
812,female,group C,master's degree,standard,completed,54,64,67
132,male,group E,some college,free/reduced,completed,87,74,70
885,female,group C,associate's degree,standard,completed,62,76,80
